id,keyword,freq
171,absenceheating,1.0
172,absent,62.0
173,absentdue,1.0
174,absfeature,1.0
175,absober,2.0
176,absolue,1.0
177,absolute,181.0
178,absolutely,121.0
179,absolyte,1.0
180,absorable,1.0
181,absorb,2663.0
182,absorbability,5.0
183,absorbable,128.0
184,absorbance,2.0
185,absorbate,10.0
186,absorbe,2.0
187,absorbed,21.0
188,absorbemit,1.0
189,absorbence,3.0
190,absorbency,43.0
191,absorbent,268.0
192,absorber,589.0
193,absorbera,1.0
194,absorberit,18.0
195,absorberpiston,1.0
196,absorbers,7.0
197,absorberscalable,1.0
198,absorbersolar,1.0
199,absorbersthe,18.0
200,absorberthe,1.0
201,absorbertwo-way,1.0
202,absorbervibration,1.0
203,absorbing,44.0
204,absorbkeep,1.0
205,absorblarge,1.0
206,absorbmaximize,1.0
207,absorbmoisture,10.0
208,absorbplank,1.0
209,absorbproperty,1.0
210,absorbptiometric,1.0
211,absorbs,50.0
212,absorbsell,1.0
213,absorbsweat,1.0
214,absorbtion,2.0
215,absorbwaste,1.0
216,absord,1.0
217,absorpt,112.0
218,absorption,1830.0
219,absorption-free,1.0
220,absorptionchange,3.0
221,absorptionexcellent,1.0
222,absorptionexhaust,1.0
223,absorptionfoam,1.0
224,absorptionfunction,1.0
225,absorptionit,1.0
226,absorptionmultiple,2.0
227,absorptionwarm,1.0
228,absorptive,190.0
229,absorptiveness,2.0
230,absorptivity,56.0
231,absorptivityshine,1.0
232,absortion,2.0
233,absortionmetry,95.0
234,abss,1.0
235,absthe,1.0
236,abstract,4.0
237,abstraction,2.0
238,abt,3.0
239,abu,3.0
240,abudhabi,1.0
241,abundance,62.0
242,abundant,1450.0
243,abundantdomestic,3.0
244,abundantexperience,1.0
245,abundantful,1.0
246,abundantgrowth,1.0
247,abundantheat,1.0
248,abundantly,69.0
249,abundantmineral,1.0
250,abuse,68.0
251,abusiniess,1.0
252,abut,1.0
253,abutcop,3.0
254,abutcoping,1.0
255,abutcore,1.0
256,abutent,1.0
257,abutment,208.0
258,abutments,1.0
259,abutmentsabutment,1.0
260,abutmetnt,2.0
261,aby,36.0
262,aca,1.0
263,acaci,1.0
264,acacia,5.0
265,acade,1.0
266,academic,302.0
267,academiccircle,1.0
268,academy,30.0
269,academychild,1.0
270,acadian,1.0
271,acai,12.0
272,acaiberry,5.0
273,acaiberrypure,1.0
274,acambogi,1.0
275,acanthamoeba,1.0
276,acanthopanax,239.0
277,acarbose,28.0
278,acarboseacarbose,1.0
279,acaricide,1.0
280,acasy,1.0
281,acasys,2.0
282,acathopanax,55.0
283,acathopanaxulmus,1.0
284,acaus,2.0
285,acb,406.0
286,acballow,1.0
287,acbfabriicate,1.0
288,acbinvestment,1.0
289,acc,19.0
290,accairflow,1.0
291,accb,1.0
292,acce,14.0
293,accecery,1.0
294,accel,1.0
295,acceleator,1.0
296,accelerant,1.0
297,accelerate,551.0
298,accelerated,9.0
299,accelerating,4.0
300,acceleration,246.0
301,accelerationinstallation,1.0
302,accelerationrelated,1.0
303,accelerator,486.0
304,accelerators,1.0
305,acceleratorspeeding,1.0
306,accelerometer,7.0
307,accelette,1.0
308,accellerator,1.0
309,accelrerator,2.0
310,accent,13.0
311,accentrim,2.0
312,accents,2.0
313,accentuate,64.0
314,accept,410.0
315,acceptability,1.0
316,acceptable,189.0
317,acceptableindustrial,1.0
318,acceptance,109.0
319,accepted,102.0
320,accepting,2.0
321,acceptor,14.0
322,accepts,137.0
323,acceptstighten,1.0
324,accesaary,1.0
325,accesarry,1.0
326,accesary,13.0
327,accesories,2.0
328,accesoriosprotecci,1.0
329,accesory,16.0
330,access,3600.0
331,accessaory,1.0
332,accessapplied,1.0
333,accessaries,1.0
334,accessary,66.0
335,accessattendance,1.0
336,accessbio,1.0
337,accesscharge,1.0
338,accesscontrol,3.0
339,accessdouble,1.0
340,accesseasily,1.0
341,accessery,2.0
342,accesses,1.0
343,accessibility,19.0
344,accessible,367.0
345,accessibleinterface,1.0
346,accessibleservice,1.0
347,accessing,5.0
348,accessiry,1.0
349,accessoire,17.0
350,accessor,12.0
351,accessori,1.0
352,accessorie,1.0
353,accessories,859.0
354,accessoriesacrylic,1.0
355,accessoriesand,1.0
356,accessoriesart,1.0
357,accessoriesbag,1.0
358,accessoriesceramic,1.0
359,accessoriesclassification,1.0
360,accessoriesfashion,1.0
361,accessoriesfor,1.0
362,accessoriesfurniture,4.0
363,accessorieshappymorus,1.0
364,accessoriesheadlight,1.0
365,accessoriesit,1.0
366,accessorieslauncher,1.0
367,accessoriesmultifunctional,1.0
368,accessoriesothers,1.0
369,accessoriessilver,2.0
370,accessoriessmart,1.0
371,accessoriessp,1.0
372,accessoriesthe,4.0
373,accessoriesthis,9.0
374,accessorieswe,2.0
375,accessorieswholesale,1.0
376,accessorieswomens,1.0
377,accessorise,1.0
378,accessorize,1.0
379,accessorus,1.0
380,accessory,8348.0
381,accessoryadd,1.0
382,accessoryall,2.0
383,accessoryapproval,1.0
384,accessoryas,1.0
385,accessorybase,1.0
386,accessoryblueballast,1.0
387,accessorybook,1.0
388,accessorycargo,1.0
389,accessorycase,3.0
390,accessoryceo,2.0
391,accessorychinese,1.0
392,accessorycolor,1.0
393,accessorycomplete,1.0
394,accessorycomponent,1.0
395,accessorycontent,1.0
396,accessorycontrol,1.0
397,accessorydpf,1.0
398,accessoryframe,1.0
399,accessorygrp,1.0
400,accessoryhome,3.0
401,accessoryhood,1.0
402,accessoryjanelbolt,1.0
403,accessoryjewelry,1.0
404,accessorykitchenware,1.0
405,accessorylee,1.0
406,accessorylive,1.0
407,accessorymmotor,1.0
408,accessorymobile,1.0
409,accessorymorus,2.0
410,accessorymotor,1.0
411,accessorynecklace,1.0
412,accessoryoptimum,1.0
413,accessorypark,2.0
414,accessorypatch,1.0
415,accessorypatent,1.0
416,accessorysafety,1.0
417,accessoryseries,1.0
418,accessoryserrated,1.0
419,accessorysilicone,1.0
420,accessorytablet,2.0
421,accessorythe,1.0
422,accessoryuse,23.0
423,accessorywithout,1.0
424,accessoryy,1.0
425,accessoties,1.0
426,accesspoint,1.0
427,accessprecise,1.0
428,accessrecently,1.0
429,accessry,1.0
430,accesssimple,1.0
431,accessunit,1.0
432,accident,2454.0
433,accidentabsorb,1.0
434,accidental,70.0
435,accidentally,7.0
436,accidentbreak,1.0
437,accidentcar,1.0
438,accidentcollision,1.0
439,accidentcontinuously,1.0
440,accidentelectric,1.0
441,accidentemergency,1.0
442,accidenthandle,1.0
443,accidentimportance,1.0
444,accidentimprove,1.0
445,accidentknee,1.0
446,accidentmove,1.0
447,accidentproduction,1.0
448,accidentreduce,2.0
449,accidents,14.0
450,accidentsatellite,1.0
451,accidentscar,1.0
452,accidentseat-mounted,1.0
453,accidentsslipp,1.0
454,accidentsubject,8.0
455,accidentwe,1.0
456,accidnet,40.0
457,accient,2.0
458,acciona,2.0
459,acclaimed,1.0
460,acclamation,9.0
461,acclerator,29.0
462,accodance,26.0
463,accode,1.0
464,accolade,5.0
465,accommodate,755.0
466,accommodated,1.0
467,accommodatedurable,1.0
468,accommodateposition,1.0
469,accommodatereliable,1.0
470,accommodates,3.0
471,accommodation,249.0
472,accommodations,11.0
473,accomodate,2.0
474,accomodation,34.0
475,accompaniment,2.0
476,accompany,51.0
477,accompanying,42.0
478,accompanyloud,2.0
479,accomplish,468.0
480,accomplished,94.0
481,accomplishedsubstitution,1.0
482,accomplishment,29.0
483,accoplishment,1.0
484,accord,4469.0
485,accordable,1.0
486,accordacticated,1.0
487,accordance,533.0
488,accordant,83.0
489,accordapplication,2.0
490,accordcondition,1.0
491,accorddemand,1.0
492,accorddevelopment,2.0
493,accordeffectively,1.0
494,accordhjt,1.0
495,accordhole,1.0
496,accordindustry,1.0
497,according,395.0
498,accordingly,498.0
499,accordinglyexperience,2.0
500,accordinglyspeed,1.0
501,accordingshooting,1.0
502,accordingto,125.0
503,accordion,42.0
504,accordkorean,1.0
505,accordmanhattanization,1.0
506,accordrealistic,1.0
507,accordrequirement,4.0
508,accordshape,3.0
509,accordspecific,1.0
510,accordstrategy,1.0
511,accordstrict,2.0
512,accore,3.0
513,accosorry,1.0
514,account,322.0
515,accountant,2.0
516,accounting,382.0
517,accounts,2.0
518,accoustic,20.0
519,accoustical,1.0
520,accpet,7.0
521,accra,2.0
522,accredit,124.0
523,accreditation,3.0
524,accredited,7.0
525,accrode,3.0
526,accroding,1.0
527,accrue,9.0
528,accrued,1.0
529,accssary,2.0
530,accssesary,1.0
531,accssessary,1.0
532,accssory,1.0
533,accuacy,1.0
534,accuate,44.0
535,accufuser,2.0
536,accumalate,1.0
537,accumalt,4.0
538,accumlator,25.0
539,accumlatorseparator,1.0
540,accumulate,2109.0
541,accumulated,89.0
542,accumulateestablishment,1.0
543,accumulateexpert,10.0
544,accumulateprofessional,1.0
545,accumulatestress,1.0
546,accumulatethus,1.0
547,accumulating,1.0
548,accumulation,368.0
549,accumulationbufer,1.0
550,accumulative,1.0
551,accumulator,1203.0
552,accumulatorset,1.0
553,accunting,1.0
554,accupower,1.0
555,accupuncture,5.0
556,accur,1.0
557,accurace,1.0
558,accuracy,1373.0
559,accuracyefficiency,1.0
560,accuracyimprove,1.0
561,accuracyrealise,1.0
562,accuracytechnology,1.0
563,accuracyuniversal,1.0
564,accuracyxonic,2.0
565,accurate,1804.0
566,accurateadvance,1.0
567,accurateanalysis,2.0
568,accuratecheck,1.0
569,accurately,574.0
570,accuratelylittle,1.0
571,accuratelyresurfaceespecially,1.0
572,accuratelysupply,1.0
573,accuratenatural,1.0
574,accurateperformance,1.0
575,accuratereliable,1.0
576,accuratetimely,1.0
577,accusizer,1.0
578,accustomed,1.0
579,accuvein,1.0
580,acdc,1.0
581,acdelcu,1.0
582,acdessory,6.0
583,ace,140.0
584,aceanti-inflammatory,1.0
585,acebrophillin,32.0
586,aceflex,1.0
587,aceiling,1.0
588,acelectric,1.0
589,acelerador,1.0
590,acelex,1.0
591,acelluar,1.0
592,acellular,1.0
593,aceme,9.0
594,acemethacin,82.0
595,acemethacinanti-inflammatory,1.0
596,acemethacincure,2.0
597,acemethacindigestive,1.0
598,acemethacinexpectorant,1.0
599,acemethacingastrointestinal,1.0
600,acemethacinintestinal,2.0
601,acemethacinlevosulpiride,1.0
602,acemethacinpseudo,1.0
603,acemethacinquality,1.0
604,acemethacinsolvent,3.0
605,acendrado,1.0
606,acepack,1.0
607,acer,1.0
608,acessary,1.0
609,acessory,1.0
610,acetade,1.0
611,acetal,39.0
612,acetaldehyde,2.0
613,acetaminophen,3.0
614,acetate,899.0
615,acetateh,1.0
616,acetatespectacle,1.0
617,acetatethe,1.0
618,acetex,3.0
619,acetic,41.0
620,aceticacid,1.0
621,acetlycysteine,1.0
622,acetoacetic,22.0
623,acetobactor,5.0
624,acetone,16.0
625,acetonide,1.0
626,acetum,1.0
627,acetyl,2.0
628,acetyle,1.0
629,acetylene,60.0
630,acf,49.0
631,acfine,57.0
632,acfsamsung,1.0
633,acgular,1.0
634,ach,2.0
635,achainhollowness,1.0
636,ache,210.0
637,acheive,35.0
638,aches,1.0
639,acheve,1.0
640,achewhy,1.0
641,achi,1.0
642,achieced,1.0
643,achiered,1.0
644,achievable,123.0
645,achievablepatented,1.0
646,achieve,1953.0
647,achieveacademic,1.0
648,achievebeneficial,1.0
649,achievebusiness,1.0
650,achievecertificate,1.0
651,achieveconstant,2.0
652,achieved,5.0
653,achievedehydrator,1.0
654,achievedisc,1.0
655,achieveexercise,2.0
656,achievelowest,1.0
657,achievemarket,2.0
658,achievement,148.0
659,achievements,7.0
660,achievepossible,1.0
661,achieves,1.0
662,achievesewage,1.0
663,achieving,1.0
664,achilles,2.0
665,aching,1.0
666,achitect,1.0
667,achitectural,1.0
668,achive,303.0
669,achivelloyd,1.0
670,achmedical,1.0
671,achromatic,2.0
672,acicular,1.0
673,acid,4410.0
674,acid-based,1.0
675,acid-resistant,5.0
676,acidaha,2.0
677,acidalkali,3.0
678,acidbattery,1.0
679,acidbattery-sealed,1.0
680,acidbulk,1.0
681,acidchinese,1.0
682,acidconscious,1.0
683,aciddensity,1.0
684,acide,1.0
685,acideco-friendly,1.0
686,acidenclosed,5.0
687,acidengineering,1.0
688,acidester,1.0
689,acidflavonoid,1.0
690,acidfluid,1.0
691,acidfor,1.0
692,acidfully,12.0
693,acidic,451.0
694,acidicalways,2.0
695,acidicapply,1.0
696,acidichead,1.0
697,acidicone,1.0
698,acidicplease,1.0
699,acidicspray,2.0
700,acidification,8.0
701,acidifier,1.0
702,acidifiers,2.0
703,acidify,8.0
704,acidimprove,1.0
705,acidit,2.0
706,acidity,68.0
707,acidize,110.0
708,acidlow,1.0
709,acidmedicinal,1.0
710,acidmicroalbumin,1.0
711,acidminimal,1.0
712,acidoil,1.0
713,acidophilus,13.0
714,acidproduction,1.0
715,acidrapidly,1.0
716,acidrechargeable,1.0
717,acidroot,5.0
718,acids,29.0
719,acidsell,1.0
720,acidsfollow,1.0
721,acidsif,1.0
722,acidsignificant,1.0
723,acidstorage,1.0
724,acidulant,3.0
725,acidwear,1.0
726,acitivy,1.0
727,acivity,1.0
728,ack,44.0
729,acknowledge,179.0
730,acknowledgecustomer,1.0
731,acknowledged,1.0
732,acknowledgement,10.0
733,acknowledgment,1.0
734,acknowledgments,1.0
735,acless,1.0
736,aclife,1.0
737,acm,18.0
738,acme,1.0
739,acmelolum,1.0
740,acne,660.0
741,acnes,1.0
742,acneskin,1.0
743,acnet,1.0
744,acnetrouble,1.0
745,acno,12.0
746,acohol,31.0
747,acompany,1.0
748,acoord,1.0
749,acorn,5.0
750,acorns,1.0
751,acorus,416.0
752,acoustic,291.0
753,acoustical,1.0
754,acoustics,1.0
755,acoutic,1.0
756,acp,20.0
757,acpap,120.0
758,acpower,1.0
759,acqc,1.0
760,acquassimo,1.0
761,acquire,1315.0
762,acquireboast,1.0
763,acquirecertificate,1.0
764,acquired,13.0
765,acquirefirst,1.0
766,acquirehaccp,1.0
767,acquireinternational,1.0
768,acquireoil,1.0
769,acquirepatent,1.0
770,acquires,2.0
771,acquiresick,1.0
772,acquiring,2.0
773,acquisite,1.0
774,acquisition,606.0
775,acquisitionaccurate,1.0
776,acquisitiondevice,1.0
777,acquisitionfinder,1.0
778,acquisitionintelligent,2.0
779,acquisitions,2.0
780,acquring,111.0
781,acr,9.0
782,acradyne,1.0
783,acre,1.0
784,acril,1.0
785,acrilonitrile,1.0
786,acromegaly,1.0
787,acropass,1.0
788,acrosentec,96.0
789,across,666.0
790,acrosscountry,1.0
791,acrossplate,1.0
792,acrossprocess,1.0
793,acrosssurface,2.0
794,acrux,1.0
795,acry,1.0
796,acryl,194.0
797,acrylamide,1.0
798,acrylate,14.0
799,acryle,1.0
800,acrylic,2016.0
801,acrylicacid,1.0
802,acrylicbathtub,1.0
803,acrylicboa,1.0
804,acrylicit,1.0
805,acrylicmaterial,1.0
806,acrylicperivate,1.0
807,acrylicpolyester,1.0
808,acrylicproduce,1.0
809,acrylit,1.0
810,acrylonitrile,7.0
811,acryloutput,1.0
812,acs,3.0
813,acsen,1.0
814,acsr,36.0
815,acsys,1.0
816,act,1481.0
817,acta,1.0
818,actattach,1.0
819,actautor,2.0
820,actcatalyst,1.0
821,actconference,1.0
822,actd,1.0
823,actfl,2.0
824,actibacterial,1.0
825,actical,3.0
826,acticate,1.0
827,acticated,10.0
828,acting,39.0
829,actingrack,1.0
830,actinobacillus,93.0
831,actinometry,1.0
832,actinomyce,10.0
833,actinoplane,26.0
834,actinternational,1.0
835,action,1116.0
836,actionable,4.0
837,actionablepatents,1.0
838,actionablereports,1.0
839,actionadsorption,1.0
840,actioncon,1.0
841,actioneffective,5.0
842,actiongenerate,1.0
843,actiongreen,1.0
844,actionhousing,1.0
845,actionmultus,1.0
846,actionpress,2.0
847,actionregenerative,1.0
848,actions,1.0
849,activa,2.0
850,activate,1469.0
851,activatecarbon,1.0
852,activatecharacteristic,1.0
853,activated,64.0
854,activateincrease,1.0
855,activatenewest,1.0
856,activateoxygen,2.0
857,activatepend,1.0
858,activateprior,1.0
859,activates,1.0
860,activateuseful,2.0
861,activating,4.0
862,activation,331.0
863,activationdevelop,1.0
864,activationquantum,1.0
865,activationshinki,1.0
866,activationsystem,1.0
867,activator,19.0
868,activators,2.0
869,activchacoal,1.0
870,active,2531.0
871,activealumina,1.0
872,activecase,45.0
873,activedevice,2.0
874,activein,3.0
875,activelink,124.0
876,activelive,1.0
877,actively,158.0
878,activelycontents,1.0
879,activeness,1.0
880,activepharmaceutical,3.0
881,actives,2.0
882,activetag,1.0
883,activewear,3.0
884,activex,50.0
885,activgh,1.0
886,activiated,1.0
887,activite,1.0
888,activites,1.0
889,activities,32.0
890,activitiesbased,1.0
891,activitiesbathroom,1.0
892,activitiesmembranaceus,1.0
893,activity,2558.0
894,activityboost,1.0
895,activitychina,1.0
896,activityind,1.0
897,activityinvolve,1.0
898,activityit,54.0
899,activityity,1.0
900,activitylow,1.0
901,activitypay,1.0
902,activityschool,1.0
903,activityserve,36.0
904,activityspecial,6.0
905,activitywork,1.0
906,activon,1.0
907,actlatest,1.0
908,actm,1.0
909,actmain,4.0
910,actmedicine,6.0
911,actmedicines,1.0
912,actmotor,1.0
913,acto,1.0
914,actor,3.0
915,actors,3.0
916,actress,2.0
917,acts,26.0
918,actsingle,4.0
919,acttwist,1.0
920,actual,1296.0
921,actualinside,1.0
922,actuality,1.0
923,actualize,20.0
924,actually,353.0
925,actuallyproduction,1.0
926,actualnitrile,4.0
927,actualrespiratory,1.0
928,actuate,123.0
929,actuated,2.0
930,actuatewheel,1.0
931,actuation,13.0
932,actuationguide,1.0
933,actuator,893.0
934,actuatorair,1.0
935,actuatorand,3.0
936,actuatorceramic,1.0
937,actuatorkorea,1.0
938,actuatorposition,1.0
939,actuators,11.0
940,actuatorsit,1.0
941,actuatorspower,1.0
942,acturator,2.0
943,acturetor,1.0
944,actwitness,4.0
945,actylate,1.0
946,actylic,1.0
947,actyon,2.0
948,acu,167.0
949,acuarium,1.0
950,acudamper,2.0
951,acufuncture,1.0
952,acugun,71.0
953,acuity,75.0
954,acumina,12.0
955,acunpture,128.0
956,acunptureno,9.0
957,acupoint,122.0
958,acupointsonce,5.0
959,acupressure,100.0
960,acupressure-type,1.0
961,acupro,1.0
962,acupuncture,281.0
963,acupuncturist,53.0
964,acupuncturistsister,2.0
965,acupunture,1.0
966,acurate,44.0
967,acusta,72.0
968,acuta,1.0
969,acute,45.0
970,acyclic,33.0
971,acylic,1.0
972,ada,3.0
973,adam,2.0
974,adams,1.0
975,adapt,626.0
976,adaptability,54.0
977,adaptable,179.0
978,adaptation,51.0
979,adaptcurrent,1.0
980,adapte,1.0
981,adapted,3.0
982,adaptedlast,1.0
983,adapter,882.0
984,adapteraim,1.0
985,adapteralso,33.0
986,adaptercamera,2.0
987,adapterconvert,1.0
988,adapterdear,1.0
989,adapterdiversify,1.0
990,adapterdot,1.0
991,adapterendotracheal,2.0
992,adapterforge,1.0
993,adapterit,1.0
994,adapterlock,1.0
995,adapteror,6.0
996,adapterpidion,1.0
997,adapterregulated,1.0
998,adapters,7.0
999,adapterslock,5.0
1000,adaptersssmb,1.0
1001,adaptersssmc,1.0
1002,adaptersupply,1.0
1003,adaptible,1.0
1004,adapting,2.0
1005,adaption,1.0
1006,adaptive,266.0
1007,adaptiveautomatic,1.0
1008,adaptmega,2.0
1009,adaptor,310.0
1010,adaptordistribution,1.0
1011,adapttechnology,1.0
1012,adas,6.0
1013,adasdasdad,1.0
1014,adb,12.0
1015,adblue,4.0
1016,adc,4.0
1017,adcalator,135.0
1018,add,4694.0
1019,add-on,17.0
1020,add-onit,1.0
1021,addaccord,1.0
1022,addanother,1.0
1023,addboiling,2.0
1024,addcater,1.0
1025,addcouple,1.0
1026,added,73.0
1027,added-value,1.0
1028,addedfirm,1.0
1029,addedin,1.0
1030,addedminerals,1.0
1031,addedminimize,1.0
1032,addednew,1.0
1033,addedour,1.0
1034,addenriched,1.0
1035,addepoxy,1.0
1036,addfine,2.0
1037,addfire,2.0
1038,addfunctional,1.0
1039,addi,3.0
1040,addict,1.0
1041,addictive,46.0
1042,addidas,1.0
1043,adding,75.0
1044,addis,1.0
1045,addition,3439.0
1046,addition-type,1.0
1047,additional,2571.0
1048,additionaldtp,3.0
1049,additionalfare,1.0
1050,additionallinkage,1.0
1051,additionally,913.0
1052,additionallycall,1.0
1053,additionallycommonly,1.0
1054,additionalmechanical,1.0
1055,additionalprice,1.0
1056,additionalprofit,1.0
1057,additionalsupport,1.0
1058,additionalworker,1.0
1059,additionan,1.0
1060,additioncertify,2.0
1061,additiondesign,1.0
1062,additiondifferentiate,1.0
1063,additionfeature,1.0
1064,additionfollow,1.0
1065,additionmonomer,1.0
1066,additionperfect,1.0
1067,additionphysical,1.0
1068,additionproductivity,2.0
1069,additionprovide,1.0
1070,additionreinforcement,1.0
1071,additionstagger,1.0
1072,additiontight,1.0
1073,additionutilize,1.0
1074,addititve,18.0
1075,addititvepad,1.0
1076,additive,2405.0
1077,additive-free,3.0
1078,additivedairy,1.0
1079,additivepreservative,1.0
1080,additives,138.0
1081,additivesas,1.0
1082,additivesmonocalcic,1.0
1083,additivespart,1.0
1084,additivespecially,1.0
1085,additivespowder,1.0
1086,additivesrecycled,1.0
1087,additivesto,1.0
1088,additiveswell,1.0
1089,additivetextile,1.0
1090,additivy,1.0
1091,additon,1.0
1092,additonal,23.0
1093,additonally,19.0
1094,addittion,11.0
1095,addive,14.0
1096,addiveherb,1.0
1097,addlactobacillus,1.0
1098,addlive,1.0
1099,addnatural,1.0
1100,addpartner,1.0
1101,addra,1.0
1102,addremove,1.0
1103,address,554.0
1104,addressable,1.0
1105,addresscompany,1.0
1106,addresser,76.0
1107,addresseranemometer,1.0
1108,addresseranemometerelectronic,1.0
1109,addresses,2.0
1110,addresslatest,1.0
1111,addressphone,1.0
1112,addresswe,1.0
1113,adds,31.0
1114,addshortly,1.0
1115,addstable,1.0
1116,addtec,45.0
1117,addtion,66.0
1118,addtional,1.0
1119,addtionally,1.0
1120,addtive,16.0
1121,addtivy,1.0
1122,adduct,1.0
1123,adductor,2.0
1124,addunstableness,1.0
1125,addvalue,1.0
1126,addwash,1.0
1127,ade,21.0
1128,adefovir,1.0
1129,adeno,191.0
1130,adenoinsine,1.0
1131,adenoma,53.0
1132,adenomasmall,1.0
1133,adenophora,2.0
1134,adenopolio,1.0
1135,adenosin,5.0
1136,adenosine,251.0
1137,adenosinearbutin,1.0
1138,adenosinethe,1.0
1139,adenovirus,15.0
1140,adequacy,1.0
1141,adequate,179.0
1142,adequately,95.0
1143,adequatemass,1.0
1144,adevertisement,1.0
1145,adf,3.0
1146,adhd,3.0
1147,adheisve,17.0
1148,adheisvebookbind,1.0
1149,adheisvepakaging,1.0
1150,adheisvesearch,1.0
1151,adhension,1.0
1152,adhensive,1.0
1153,adhensivity,190.0
1154,adhensivityprevention,1.0
1155,adhere,407.0
1156,adhered,19.0
1157,adheremiscellaneous,1.0
1158,adherenatual,1.0
1159,adherence,267.0
1160,adherend,1.0
1161,adheres,3.0
1162,adhering,324.0
1163,adhes,1.0
1164,adheseveness,1.0
1165,adhesie,1.0
1166,adhesioin,21.0
1167,adhesiolysis,17.0
1168,adhesion,1207.0
1169,adhesionessence,1.0
1170,adhesionit,1.0
1171,adhesionmachine,1.0
1172,adhesionorder,1.0
1173,adhesionprior,1.0
1174,adhesions,2.0
1175,adhesionstill,1.0
1176,adhesiv,1.0
1177,adhesivas,1.0
1178,adhesive,3650.0
1179,adhesive-gluing,1.0
1180,adhesiveand,1.0
1181,adhesivebonding,1.0
1182,adhesivebroadended,1.0
1183,adhesivecarrier,1.0
1184,adhesiveconvenience,1.0
1185,adhesivecore,1.0
1186,adhesiveemulsion,1.0
1187,adhesivegeneral,1.0
1188,adhesivehand,1.0
1189,adhesivehot,1.0
1190,adhesiveloc,1.0
1191,adhesively,3.0
